2023-02-22 04:40:52.931 [info] Extension host with pid 1941206 started
2023-02-22 04:40:52.950 [info] Lock '/home/ubuntu/.vscode-server/data/User/workspaceStorage/3e23ce5bcb104025f2c3f395e703fecc/vscode.lock': Lock acquired.
2023-02-22 04:40:53.121 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2023-02-22 05:16:05.148 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/arhive/1220/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:16:05.148 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/arhive/1220/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:16:05.148 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/arhive/1220/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:16:05.148 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/arhive/1220/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:16:05.148 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/arhive/1220/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:16:05.148 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/arhive/1220/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:16:05.148 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/arhive/1220/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:16:05.148 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/arhive/1220/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:16:05.148 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/arhive/1220/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:16:05.148 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/arhive/1220/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:16:05.148 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/arhive/1220/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:16:05.149 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/arhive/1220/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:16:05.149 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/arhive/1220/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:16:05.149 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/arhive/1220/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:16:05.833 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/arhive/1220/pybo/lib64/python3.8/site-packages/django/contrib/admin/templates/admin/app_index.html' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:16:05.833 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/arhive/1220/pybo/lib64/python3.8/site-packages/django/contrib/admin/templates/admin/app_index.html' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:16:05.833 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/arhive/1220/pybo/lib64/python3.8/site-packages/django/contrib/admin/templates/admin/app_index.html' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:16:05.833 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/arhive/1220/pybo/lib64/python3.8/site-packages/django/contrib/admin/templates/admin/app_index.html' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:16:06.149 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/arhive/1220/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:16:06.149 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/arhive/1220/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:16:06.149 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/arhive/1220/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:16:06.149 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/arhive/1220/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:16:06.149 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/arhive/1220/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:16:06.149 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/arhive/1220/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:16:06.150 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/arhive/1220/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:16:06.150 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/arhive/1220/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:16:06.150 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/arhive/1220/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:16:06.150 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/arhive/1220/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:16:06.150 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/arhive/1220/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:16:06.150 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/arhive/1220/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:16:06.151 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/arhive/1220/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:16:06.151 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/arhive/1220/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:16:06.151 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/arhive/1220/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:16:06.151 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/arhive/1220/pybo/lib64/python3.8/site-packages/django/contrib/admin/sites.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:16:06.834 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/arhive/1220/pybo/lib64/python3.8/site-packages/django/contrib/admin/templates/admin/app_index.html' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:16:06.834 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/arhive/1220/pybo/lib64/python3.8/site-packages/django/contrib/admin/templates/admin/app_index.html' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:16:06.834 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/arhive/1220/pybo/lib64/python3.8/site-packages/django/contrib/admin/templates/admin/app_index.html' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:16:06.835 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/arhive/1220/pybo/lib64/python3.8/site-packages/django/contrib/admin/templates/admin/app_index.html' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:16:57.185 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/arhive/1220/pybo/lib64/python3.8/site-packages/django/contrib/gis/db/backends/base/features.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:16:57.185 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/arhive/1220/pybo/lib64/python3.8/site-packages/django/contrib/gis/db/backends/base/features.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:16:57.185 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/arhive/1220/pybo/lib64/python3.8/site-packages/django/contrib/gis/db/backends/base/features.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:16:57.185 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/arhive/1220/pybo/lib64/python3.8/site-packages/django/contrib/gis/db/backends/base/features.py' is beyond a symbolic link\n","exitCode":128}
2023-02-22 05:16:57.185 [error] {"message":"Git error","stdout":"","stderr":"fatal: pathspec '/home/ubuntu/web/3.pybo/PowerCat/arhive/1220/pybo/lib64/python3.8/site-packages/django/contrib/gis/db/backends/base/features.py' is beyond a symbolic link\n","exitCode":128}
